1,200,150,1
2,150,100,2
3,230,180,3
4,250,200,4
5,380,330,5
6,200,150,6
7,100,50,7
8,300,250,8
9,200,150,9
10,250,200,10
11,350,300,11
12,150,100,12
13,400,350,13
14,100,50,14
15,85,35,15
16,95,45,16
17,100,50,17
18,385,335,18
19,150,100,19
20,95,45,20
21,75,25,21
22,115,65,22
23,185,135,23
24,150,100,24
25,300,250,25
26,230,180,26
27,185,135,27
28,200,150,28
29,285,235,29
30,250,200,30
31,400,350,31
32,150,100,32
33,335,285,33
34,50,0,34
35,95,45,35
36,350,300,36
37,200,150,37
38,100,50,38
39,150,100,39
40,300,250,40
41,300,250,41
42,300,250,42
43,300,250,43
44,300,250,44
45,300,250,45
46,300,250,46
47,300,250,47
48,250,200,48
49,250,200,49
50,450,400,50
51,250,200,51
52,250,200,52
